,title,date,keywords_textrank,ai_entity,day,month,year,status
820,Can This AI-Powered Baby Translator Help Diagnose Autism?,2018-05-11,"['child', 'autism', 'parent', 'anderson', 'app']",question answering,11,5,2018,precovid
821,White House will take a ‘hands-off’ approach to AI regulation,2018-05-11,"['ai regulation', 'like', 'likely', 'expo', 'development', 'developer']",language identification,11,5,2018,precovid
822,Artificial Neural Nets Grow Brainlike Cells to Find Their Way,2018-05-13,"['navigational', 'navigate', 'navigator', 'navigation', 'grid cell', 'brain', 'barry']",neural modeling fields ,13,5,2018,precovid
823,Henry the Sexbot Wants to Know All Your Hopes and Dreams,2018-05-15,"['henry', 'mcmullen', 'company', 'say', 'make', 'making']",data mining,15,5,2018,precovid
824,Information Commissioner targets intrusive facial recognition,2018-05-15,"['police', 'facial recognition', 'concerned', 'concern', 'ai']",activity recognition,15,5,2018,precovid
825,Tech Firms Move to Put Ethical Guard Rails Around AI,2018-05-16,"['company', 'microsoft', 'saying', 'ai say', 'ethic', 'ethical']",robotics,16,5,2018,precovid
826,Facebook’s AI continues to fight the worst of the web,2018-05-16,"['content', 'facebook', 'ai', 'expo', 'hate']",pattern recognition,16,5,2018,precovid
827,Discover how AI plans to transform healthcare,2018-05-17,"['ai', 'data', 'patient', 'healthcare', 'percent']",silent speech interface,17,5,2018,precovid
828,"Editorial: Stopping AI’s discrimination will be difficult, but vital",2018-05-17,"['ai technology', 'like', 'likely', 'developed', 'development', 'expo']",facial recognition,17,5,2018,precovid
829,Researchers develop virtual-reality testing ground for drones,2018-05-17,"['drone fly', 'virtual', 'karaman', 'flying', 'researcher', 'research']",virtual reality,17,5,2018,precovid
830,More Artists Are Writing Songs in the Key of AI,2018-05-17,"['track', 'music', 'musical', 'composer', 'compose', 'ai', 'new']",artificial life,17,5,2018,precovid
831,"France, China, and the EU All Have an AI Strategy. Shouldn’t the US?",2018-05-20,"['ai', 'future', 'french', 'plan', 'publicly', 'public']",nlp,20,5,2018,precovid
832,Theresa May: AI is a ‘new weapon’ against cancer,2018-05-21,"['data', 'nh', 'medical', 'medication', 'patient', 'expo']",named-entity extraction,21,5,2018,precovid
833,"WIRED’S Predictions for Bots, Blockchain, Crispr, and More",2018-05-22,"['robot', 'hacker', 'warehouse', 'year', 'future']",robotics,22,5,2018,precovid
834,Making driverless cars change lanes more like human drivers do,2018-05-22,"['car algorithm', 'vehicle', 'researcher', 'research', 'buffer']",semantic search,22,5,2018,precovid
835,"UK Businesses: AI will create jobs, not destroy",2018-05-22,"['percent', 'ai', 'business', 'ceo', 'job']",silent speech interface,22,5,2018,precovid
836,"Watch out Google Duplex, Microsoft also has a chatty AI",2018-05-23,"['like', 'xiaoice', 'microsoft', 'google', 'expo']",robotics,23,5,2018,precovid
837,Bill forcing AI bots to reveal themselves faces EFF opposition,2018-05-24,"['ai bot', 'expo', 'human', 'eff']",automatic target recognition,24,5,2018,precovid
838,Why ‘augmented intelligence’ is a better way to describe AI,2018-05-24,"['human', 'customer', 'intelligence', 'technology', 'conversation', 'conversion']",intelligent agent,24,5,2018,precovid
839,AI Chatbots Try to Schedule Meetings—Without Enraging Us,2018-05-24,"['clara', 'human', 'like', 'likely', 'meet', 'meeting', 'email']",intelligent agent,24,5,2018,precovid
840,Russian startup is building a controversial ‘ethnicity-detecting’ AI,2018-05-25,"['ethnicity', 'ethnic', 'expo', 'people', 'use', 'u']",speech recognition,25,5,2018,precovid
841,DSTL will run Ministry of Defence’s AI research lab,2018-05-29,"['defence', 'technology', 'expo', 'ai', 'meeting']",intelligent agent,29,5,2018,precovid
842,Pentagon Will Expand AI Project Prompting Protests at Google,2018-05-29,"['project maven', 'company', 'google', 'say']",computer game,29,5,2018,precovid
843,See how AI can identify dangerous bacteria in water supplies,2018-05-30,"['water', 'ai', 'intel', 'identifying', 'identify', 'expo']",hybrid intelligent system,30,5,2018,precovid
844,Teaching chores to an artificial agent,2018-05-30,"['task', 'robot', 'robotic', 'like', 'program', 'programmed', 'video']",robotics,30,5,2018,precovid
845,Samsung partners with Babylon Health to offer AI consultations,2018-05-31,"['service', 'samsung', 'babylon health', 'patient']",named-entity extraction,31,5,2018,precovid
846,AI-based method could speed development of specialized nanoparticles,2018-06-01,"['research', 'researcher', 'nanoparticles', 'nanoparticle', 'network', 'say', 'order']",semantic translation,1,6,2018,precovid
847,Revolutionizing everyday products with artificial intelligence,2018-06-01,"['kim', 'designed', 'design', 'designing', 'designer', 'learn', 'learning', 'learns', 'learned', 'make', 'making', 'intelligence', 'intelligent']",intelligent agent,1,6,2018,precovid
848,Opinion: The risks of AI in remote medical consulting,2018-06-01,"['patient', 'ai', 'potential', 'potentially', 'question', 'questioning', 'questioned', 'babylon']",handwriting recognition,1,6,2018,precovid
849,Apple aims to simplify AI models with CreateML and Core ML 2,2018-06-05,"['model', 'apple', 'ml', 'device', 'learning', 'learn']",language identification,5,6,2018,precovid
850,MIT created a psychopathic AI based on Norman Bates,2018-06-06,"['ai', 'norman', 'mit', 'bias', 'biased', 'expo']",artificial life,6,6,2018,precovid
851,Apple's Plans to Bring Artificial Intelligence to Your Phone,2018-06-06,"['apple', 'developer', 'app', 'apps', 'say', 'federighi']",speech generating device,6,6,2018,precovid
852,An unexpected ambition borne from MIT experience,2018-06-06,"['mit', 'say', 'research', 'researcher', 'bair', 'learned', 'learn', 'learning']",machine learning,6,6,2018,precovid
853,Nference secures $11 million to help synthesise biomedical language through AI,2018-06-07,"['nference', 'ai', 'expo', 'partner', 'partnered', 'emerging', 'emerge']",image processing,7,6,2018,precovid
854,We Need to Talk About Robots Trying to Pass as Humans,2018-06-07,"['human', 'robot', 'robotics', 'say robotic', 'realistic', 'like']",robotics,7,6,2018,precovid
855,Google Sets Limits on Its Use of AI but Allows Defense Work,2018-06-07,"['google', 'pichai', 'project', 'ai', 'maven']",knowledge management,7,6,2018,precovid
856,Don’t Be Evil: Google publishes its AI ethical principles following backlash,2018-06-08,"['google', 'principle', 'company', 'technology', 'expo']",object recognition,8,6,2018,precovid
857,E3 2018: Xbox FastStart uses machine learning to get into content faster,2018-06-11,"['downloaded', 'download', 'downloads', 'faststart', 'learning', 'learns', 'learn', 'xbox', 'expo']",language identification,11,6,2018,precovid
858,MIT announces leadership of its Quest for Intelligence,2018-06-11,"['professor', 'director mit quest intelligence']",intelligent word recognition,11,6,2018,precovid
859,On a mission to build the uncrashable car,2018-06-11,"['eustice', 'map', 'mapping', 'car', 'technology', 'human']",silent speech interface,11,6,2018,precovid
860,"Inside Anduril, Palmer Luckey's Bid to Build a Border Wall",2018-06-11,"['luckey', 'company', 'anduril', 'stephen', 'government']",knowledge management,11,6,2018,precovid
861,Artificial intelligence senses people through walls,2018-06-12,"['people', 'team', 'person', 'say', 'example']",speech recognition,12,6,2018,precovid
862,Teaching robots how to move objects,2018-06-12,"['robotics', 'robotic', 'robot', 'bauza', 'team', 'good', 'make', 'making']",robotics,12,6,2018,precovid
863,Forget X-Ray Vision. You Can See Through Walls With Radio,2018-06-12,"['signal', 'wall radio', 'reflection', 'reflected', 'katabi']",intelligent word recognition,12,6,2018,precovid
864,Startup Working on Contentious Pentagon AI Project Was Hacked,2018-06-12,"['clarifai', 'say', 'saying', 'company', 'working', 'work', 'worked', 'google']",artificial life,12,6,2018,precovid
865,Uber wants to develop an intoxication-detecting algorithm,2018-06-12,"['uber', 'driver', 'expo', 'intoxicated', 'intoxication', 'passenger']",information extraction,12,6,2018,precovid
866,MIT’s AI uses wireless signals to detect movement through walls,2018-06-13,"['movement', 'rf', 'expo', 'technology', 'technological', 'ai']",object recognition,13,6,2018,precovid
867,How machine learning can help banks rate credit risk,2018-06-13,"['credit', 'data', 'model', 'learning', 'learn', 'intel']",intelligent agent,13,6,2018,precovid
868,Amnesty International warns of AI ‘nightmare scenarios’,2018-06-14,"['ai', 'development', 'develop', 'developed', 'expo', 'technology', 'amnesty']",semantic translation,14,6,2018,precovid
869,CSAIL launches new five-year collaboration with iFlyTek,2018-06-15,"['csail', 'ai', 'collaboration iflytek', 'research', 'researcher collaborate']",information extraction,15,6,2018,precovid
870,MIT engineers build smart power outlet,2018-06-15,"['electric', 'electrically', 'data', 'outlet electrical', 'device', 'team']",speech generating device,15,6,2018,precovid
871,Stanford University students employ AI to make the dankest memes,2018-06-15,"['meme', 'creating', 'create', 'expo', 'learned created', 'ai', 'learning', 'learn']",activity recognition,15,6,2018,precovid
872,Faster analysis of medical images,2018-06-18,"['algorithm', 'imaging', 'scan', 'image registration', 'brain']",automatic target recognition,18,6,2018,precovid
873,"India: Report suggests AI collaboration with UK, Japan, and Germany",2018-06-18,"['researcher', 'research', 'ai', 'india', 'expo', 'data']",data mining,18,6,2018,precovid
874,IBM’s Newest AI Can Probably Argue Better Than You,2018-06-19,"['debating', 'debater', 'debate', 'ibm software', 'opponent', 'zafrir']",language identification,19,6,2018,precovid
875,"IBM’s AI will debate until you learn your mistakes, feeble human",2018-06-19,"['debater', 'debate', 'ai debated', 'argument', 'expo', 'ibm']",computer game,19,6,2018,precovid
876,Google has an AI which predicts death better than doctors,2018-06-19,"['google', 'hospital', 'patient', 'expo', 'ai']",named-entity extraction,19,6,2018,precovid
877,Facebook can open closed eyes in photos using AI correction,2018-06-20,"['photo', 'facebook', 'expo', 'ai', 'correction', 'correctional']",facial recognition,20,6,2018,precovid
878,How to control robots with brainwaves and hand gestures,2018-06-20,"['robot', 'robotics', 'robotic', 'work', 'team', 'user', 'human']",robotics,20,6,2018,precovid
879,A Plea for AI That Serves Humanity Instead of Replacing It,2018-06-22,"['ai', 'think', 'thinking', 'intelligence', 'say', 'saying', 'people']",intelligent agent,22,6,2018,precovid
880,Amazon is next to face employee protest over government contracts,2018-06-22,"['u', 'amazon', 'company', 'right', 'ice']",cybernetics,22,6,2018,precovid
881,Can Bots Outwit Humans in One of the Biggest Esports Games?,2018-06-25,"['dota', 'openai', 'bot', 'world', 'team']",chatbots,25,6,2018,precovid
882,Embracing the power of AI: The process behind starting an AI project,2018-06-25,"['data', 'algorithm', 'process', 'processing', 'train', 'training', 'trained', 'ai']",image processing,25,6,2018,precovid
883,Nvidia adds nine AI supercomputing containers to its cloud,2018-06-26,"['nvidia', 'container', 'optimised', 'ai', 'expo']",pattern recognition,26,6,2018,precovid
884,AI Expo: TomTom will tell users what road trip they’ll enjoy most,2018-06-27,"['tomtom', 'route', 'like', 'liked', 'expo', 'road']",automation,27,6,2018,precovid
885,Personalized “deep learning” equips robots for autism therapy,2018-06-27,"['robot', 'robotics', 'child autism', 'data', 'personalized', 'personalize', 'personalization', 'person']",robotics,27,6,2018,precovid
886,AI Expo: Evolving to emotionally intelligent applications,2018-06-28,"['emotionally', 'emotion', 'emotional', 'bpu', 'election', 'nevarez', 'person', 'personal', 'personality']",facial recognition systems,28,6,2018,precovid
887,The Floating Robot With an IBM Brain Is Headed to Space,2018-06-28,"['cimon', 'astronaut', 'ibm', 'gerst', 'station']",semantic translation,28,6,2018,precovid
888,UNICRI AI and Robotics Centre: AI will transform our world,2018-07-02,"['ai', 'beridze', 'world', 'developed', 'development', 'potential', 'potentially']",knowledge management,2,7,2018,precovid
889,AI can predict the spread of nuclear fallout in advance to save lives,2018-07-04,"['predicting', 'predict', 'predictable', 'ai', 'expo', 'nuclear', 'impact']",handwriting recognition,4,7,2018,precovid
890,An AI system for editing music in videos,2018-07-05,"['amateur professional musician alike', 'september']",facial recognition systems,5,7,2018,precovid
891,UK and France announce measures to strengthen AI ties,2018-07-05,"['ai', 'uk digital', 'data', 'leading']",language identification,5,7,2018,precovid
892,Automating molecule design to speed up drug development,2018-07-06,"['molecule', 'model', 'structure', 'structural', 'structured', 'structurally', 'researcher', 'research', 'graph']",semantic search,6,7,2018,precovid
893,Consumers want businesses to have more human-like AI,2018-07-09,"['interacted ai', 'human like', 'likely', 'expo', 'interaction']",pattern recognition,9,7,2018,precovid
894,How Artificial Intelligence Could Prevent Natural Disasters,2018-07-10,"['map', 'flood', 'allenby', 'object', 'algorithm']",object recognition,10,7,2018,precovid
895,Google’s old AI boss is now at Apple in charge of Siri and ML efforts,2018-07-11,"['apple', 'ai', 'giannandrea', 'expo', 'google']",machine learning,11,7,2018,precovid
896,Microsoft Calls For Federal Regulation of Facial Recognition,2018-07-13,"['microsoft', 'technology', 'facial', 'smith', 'government', 'governing']",robotics,13,7,2018,precovid
